,cod_casa,habitaciones,banos,area,zipcode,precio
121,MQ1TP9F3RL1PHWN,3,2.0,1611,92021,575000
122,8L2ZMYTOC2FBI4S,5,3.0,4200,92021,799000
123,OU2KXFX43EBCWWY,4,2.5,2319,92021,699800
125,FN2KI2H293CITJU,6,6.5,7000,92677,3850000
127,E7K3WJEFO1GSKPM,2,2.5,915,92677,347000
129,K5NNG4C35L5VL4U,3,3.0,1825,92677,685000
130,ZZ3JMPCANQJ9YW2,4,3.5,3100,92677,1499999
131,TS3983AUMFWNA9J,3,2.0,1235,92677,469900
133,2H46W0WHLUBRS52,7,7.0,3265,92677,1200000
134,UC6JN53XKC1JE54,2,1.0,839,92677,324999
135,XVKLZC1TZEFZJDW,4,3.5,2441,92677,895500
136,EMCCBO4HKVKEEMT,3,3.5,2800,92677,1399999
138,05SB3QRK8X8VXXT,2,2.0,1171,92677,389900
139,6BRSP2AMUBHSP3X,2,2.0,1935,92677,738000
140,Q6J57IUT7POG59W,3,2.5,1819,92677,798800
141,D9TVDUCNNFA70IN,3,2.5,1950,92677,895000
143,CT2PQYLKRL7OETV,4,3.0,2614,92677,1045000
144,FMRVR92JY8AF0N7,3,2.5,2141,92677,750000
146,O3US7X2Z3MES838,3,2.5,2225,92677,949000
147,BC4P9TAOG3IKGVR,3,2.5,2125,92677,728000
148,HVEYHMD1MTDTMCZ,5,3.5,4245,92677,1895000
150,UUHRG6CH5AKV1YP,5,4.0,3489,92677,1650000
151,KVB58V1P95JBLR3,3,2.5,1808,96019,219800
152,WO92OFUOB35M8I2,2,2.0,1056,96019,22000
154,A1V9P57MLK7V1QH,3,1.0,1132,96019,170000
155,WYJXQLFKNRIVTI3,3,2.0,1372,96019,178000
156,VZWQUFVF1DBUYQQ,3,2.0,1560,96019,1795000
157,ZHLQQFCJEW2JLR0,3,2.0,1306,96019,239900
158,3G6JV1845S7GEDN,3,2.0,1736,96019,239900
159,TBH0DZZ3KRKHW0F,4,3.5,2900,96019,449900
161,AWTKR0D8VL20560,3,2.0,1008,96019,164000
162,CYIXRPHOUUDOKY4,3,2.0,1696,96019,319500
164,7FM6EEKOJCLXQK8,4,3.0,2462,95220,915000
165,KUHD30O1S9LX2HV,4,3.0,3548,95220,824999
166,MPQ8JJEIKUT182J,4,2.5,2508,95220,699700
168,XVGP15DCYP2170D,3,2.5,3467,95220,1449000
169,IQY5TDBSHR5CFM4,3,3.5,3172,95220,899900
170,KJZHBGQVJ2ZLDEV,4,3.5,4838,95220,1999999
171,PF9TY0TT8OLO6AC,4,3.0,2840,95220,799900
172,89MIE2KTHHB3OTM,4,3.5,5050,95220,1600000
173,DUXJTERHOYNLFTW,3,2.0,1299,94501,739000
174,6VG2ZBTY8JOXJBD,2,1.0,1065,94501,629000
175,VCBXG74JRAEH1H7,1,1.0,701,94501,339000
176,L9XKMRJZG0C868P,2,2.0,1313,94501,750000
177,L26IX9BWVIT4IUU,3,2.0,2078,94501,888000
180,L9Q8FINP7P5KDLF,2,1.5,1120,94501,435000
182,MF0Q2Y48KH3Q4S6,3,1.5,1253,94501,599000
183,S9TIQVBPJCUDD6Y,2,1.0,766,94501,598000
184,GPMXJ2GBTJKX7BF,5,3.5,2879,94501,1327685
185,6VD6O2BOU1TJ57N,6,4.0,3492,94501,1495000
186,DB5U2KTMTS4793R,4,3.5,3485,94501,1895000
187,YKL287SS226XMNY,4,2.0,1634,94501,899000
188,Z2CLNO7XU28FR8T,4,2.5,2020,94501,825000
190,C8ODMSSV6UPSP82,4,2.5,2300,94501,1188000
191,7UR4M2J7ZRFUL2X,2,2.0,951,94501,538800
192,IC131AM0YJU8NBB,3,2.0,1490,94501,949000
193,SVJIX4WPHRGC8WT,2,1.0,834,94501,549000
194,YXV6II3K1X56DMK,2,1.0,805,94501,625000
195,A1MUXFZGEEYBI0B,1,1.0,766,94501,349000
196,OVUM7VSR7JMAKQE,2,2.0,994,94501,479000
198,06IB97653J0YF1H,3,1.5,1581,94501,895000
201,1A5IGNPXELIYVSJ,2,2.5,1772,93446,499000
202,8202UER7TIXVDEE,3,3.0,2361,94501,988000
204,ACSXDBZNQGL9THE,2,1.0,1110,94501,649000
205,XQY5JTEOIRI8YT0,2,1.0,1016,94501,679000
206,X6985SBA40OVFW7,3,2.0,1413,94501,619000
207,CIEK2LL8WIIUW0Q,5,4.0,3743,94501,1295000
208,Q8DKXJBW8WAELX1,3,2.0,2504,94501,895000
209,SOLC5GXATGFP4LD,3,3.0,1864,94501,995888
210,YFH325LJ6G3INTZ,5,3.0,3122,94501,899000
212,1WV6317QP18AK6U,2,1.0,1134,94501,599000
213,DWHFVIZQ30HS7B5,3,1.5,1581,94501,895000
214,NK401NUURVEYZ5J,4,2.5,1602,94501,949000
215,QO8T8KBY94UQHA6,4,3.5,3651,93111,1749000
216,EP4X8V9JDBQ32NY,5,4.5,5000,93111,4000000
217,8R78A5QQ9O5T410,3,2.0,1368,93111,599999
218,3EMKHXGGI2B7Q8G,4,2.0,1426,93111,949000
219,CUAJR7ZCWIY2PTO,3,2.0,1447,93111,1080000
221,THD6Q210HQCUQ2B,2,2.0,1716,93105,895000
222,447RRBDE4CU3LFL,3,2.0,1796,93111,897000
223,HOPE4CD8Z2VAXPQ,4,4.5,2844,93111,1595000
224,7BI7PD7F2TSQTDE,3,3.5,1876,93111,1149000
225,KDX2CG7BO1NFRYD,3,2.0,1475,93111,769000
226,7CG50SG6VNBBLVI,3,3.5,3136,93111,2150000
227,H2UJGLXIE4UOKTE,5,3.0,3188,92880,567500
228,2VKA1ARQSMTHCEA,5,5.0,3701,92880,579000
230,G4SA11GKVQX1521,5,4.0,4014,92880,699000
231,8M1D5PCV76TNC8C,6,4.0,4311,92880,695000
232,LGML1WMV3M22MTP,5,4.0,2809,92880,635900
233,5BRA4BAG71GH9BD,6,4.0,3635,92880,585000
234,RTNR82ZWO4OOJ4P,8,6.0,3849,92880,580000
235,JCMT1I6ZHRIWE6V,4,4.0,3773,91752,579000
236,S4XRCRKMJHPL25G,4,3.0,3214,92880,547900
237,ACB0IPBCNXJHC8W,5,3.0,3677,92880,570000
238,NPB1WN11O0G2CAM,5,3.0,3200,92880,568000
239,UO4RZIN71IUILBG,5,4.0,3270,92880,560000
240,PDGS1LSR5SXBB89,5,5.0,4074,92880,550000
241,LGVDWPAEMNGXHDM,4,3.0,2951,92880,549999
242,4SGLX54R7ONBGAO,5,4.0,3500,92880,545000
243,CP6ZNAPZXJSSJQH,5,3.0,2622,92880,539900
244,TSZB6TD56QRM7PY,5,3.0,3034,92880,539800
245,VBMYX0OU2K1G78Z,6,4.0,3375,92880,538000
246,ZMUNPASJL462OU5,5,3.0,3340,92880,534977
247,E6WTC7G1F7TA3IN,5,3.0,3075,92880,534888
248,5JQWXFB95L8V85D,5,3.0,3013,92880,530000
249,4FXPQ6D7W1TE0VI,4,3.0,3000,92880,529900
250,3TNXFT9BCJJGUSQ,4,3.0,3141,92880,529999
251,9T6DW79YP75VZ1N,4,3.0,2650,92880,529900
252,J02NKUN1NQ748RR,5,3.0,3054,92543,284900
253,5TKWRR2ACKKQAD4,2,3.0,1627,92253,550000
254,KUIA4I154943MC3,1,1.0,840,94568,303590
255,P134M64P0T8A581,3,2.5,2295,90211,1500000
256,SQRF6AJI6VX6GAB,8,6.0,5900,92040,1350000
257,TPVGL31ZXWLB26O,4,2.0,1512,93720,89900
258,XENDKUGCKD7799H,5,3.5,3149,92880,515000
259,ET7D1HBJ7QOFCW1,3,3.0,2100,92692,700200
260,OCLW92IIRV18MAB,4,3.0,2530,93924,1150000
262,VH0EMTB5GQ71BAQ,2,2.0,1503,92692,664900
263,X3IOHZQ1WBMR8LR,3,2.0,1209,92253,250000
265,P98U29JDL2ZZXUP,6,4.0,4311,92880,695000
266,XCA5OUF7NCPAAUN,4,4.0,2460,90038,1550000
268,AREJOTWYK6WHFE8,4,3.0,2257,90803,1299000
269,AG6FVB532NWLCGK,4,3.0,2870,92880,489000
270,GE3B6M3IK081X4B,3,1.5,1400,95008,999000
271,BNJB9CWZQH6OL6Q,5,3.0,2533,94565,540000
272,GXCP3Z6CPRBPROZ,4,3.0,3010,92880,490000
273,LOS525LAZXOZL8U,3,2.5,1321,91915,360000
274,LV8IUILZZIUSRA9,3,3.0,1905,92880,448000
277,69IF84SZGV5WRHH,4,3.0,2579,92880,520000
278,MQSLM4G03ID5QBT,4,4.0,2893,92880,520000
279,MLOGGWF6XQK9F2C,4,3.0,3099,92880,519900
280,8N2HQU744SMTWPX,4,5.0,3307,92880,519900
281,YRU9E274CCPC2KC,3,3.0,2367,92880,529000
282,B6K6LKXMV4YG0GW,5,4.0,3972,91752,525000
283,2TN7XV3HKF8GVQ0,4,3.0,3010,92880,525000
284,WZ6S5WER2SGF6MO,5,5.0,3816,92880,589900
285,AIYJWU9Q25TS6L7,2,2.0,1152,92276,96900
286,HJPRAM9I9JCSNXK,2,1.5,1800,92276,163000
288,70J5E16R2NLE7MT,2,2.0,1344,92276,98000
289,Y5LI6WBNNY04UWV,2,1.0,1100,92276,36000
290,7KC7GUXCAHZHPRJ,2,2.0,1248,92276,115000
291,5GK0TWGE9JZOWE3,2,2.0,1380,92276,125000
292,UF9M24XWXJVT894,2,2.0,960,92276,100000
293,62KXBD60HUFQCNP,3,2.0,1368,92276,193000
294,PZRT31L0FY2KO0F,3,2.0,2788,92276,385000
295,YE62GQMB66XNVM7,5,3.25,3149,92880,515000
296,KZJDRTQ4Q1F34IR,4,5.0,3834,92880,530000
297,2FOUL6PPHT6SD6W,5,3.0,3767,92880,567000
298,6CSZ2HSUNUM10GH,5,3.5,3149,92880,500000
299,QNDWYI01T22G6IC,5,4.0,3565,92880,537000
300,0R0OJYJLXZ4VQH6,6,3.5,3615,92880,647000
301,CGQCUKUMWXLEQ53,5,5.0,4014,92880,542000
302,L742HBJRON6QAI8,5,5.0,3834,92880,565000
304,VCV8NV0RYN13ZFH,4,3.0,2870,92880,489000
305,W5TM0FT4MBWNBKL,4,3.0,2570,92880,510000
306,UNYCO96NEFGD6NU,4,2.5,2285,93510,560000
308,VEIAS5GR270CRFK,3,2.5,2490,93510,450000
309,9RBVHGOEEPPBD4U,3,2.0,2160,93510,409900
310,61I7GV2PT3AXQS6,3,2.5,2326,93510,553000
311,VHSKGS5M5NWMEDV,3,2.5,2260,93510,470000
313,9WRBNUCYJR4AGKY,2,1.0,884,93510,400000
314,F7BDOV1WJXFMZGK,4,3.0,2987,93510,615000
315,ZJ4KVX6J63EYXNA,3,2.0,1476,93510,485000
316,MKFGETRXPCPC7EH,5,3.0,2983,93510,479000
318,S5L7VMPO0RMIJF4,3,2.0,1236,93510,221000
319,CD1ZL7NX5VS6FHS,4,2.0,1797,93510,450000
320,NOZI8OB2LGUI1B6,3,2.0,1404,93510,195000
321,HWT74GJF5AST9MB,3,2.0,1248,93510,240000
323,3G6O22TDBHO7QL6,6,4.0,3705,93510,765000
324,W8HZ0OOPBGWDQ7D,4,2.5,2362,93510,539900
325,C4DFH9G7ZXMLU4T,4,2.0,2252,93510,585000
326,8OR2PJEOFPGV8TH,3,2.0,2752,93510,570000
327,4H1U3X0EYY2X4WN,4,2.0,2160,93510,384000
328,ZR1BMWLZJ7ZBGUS,3,4.0,3312,93510,759000
329,L417ZXSVNYFUUA5,3,2.0,2315,93510,499000
333,C5NGJN9CUJBY9RB,2,2.0,1440,92276,97500
334,QLVXBGS43DA51PG,2,2.0,2015,92276,219000
335,PT9USZYQNAQ0Z2Y,2,2.0,1248,92276,103500
336,BYIC1HT4HNG3HH1,2,2.0,1598,92276,136900
337,6A2PFGOYKVFAYND,2,2.0,1176,92276,135000
338,1NB40HLIV4VRTL3,2,2.5,960,92276,135000
339,AZAACSA6D0L03BZ,3,2.0,1482,92276,158888
340,TYPK25YOCDM95EB,2,2.0,1152,92276,74900
341,J67FD7UWGJV91PZ,2,2.0,1344,92276,69900
342,ZH20G8K3UKA0077,3,2.0,1248,92276,139500
343,GX8DFQKTLYX7MWK,3,2.0,1478,92276,219900
344,B0XYEUOV51JWZHU,2,2.0,1152,92276,99900
345,NC9NDW6SE9TZOAC,2,2.0,1040,92276,59900
346,HELH6K5J0JCD26H,2,2.0,1000,92276,118900
347,3JCAWY5GK4RLHUE,2,2.0,1440,92276,106000
349,KNID1XE1QE0GZRE,2,2.0,1640,92276,104950
350,X7HX3P072UPZVTZ,2,2.0,1578,92276,97000
351,0TS7YOUG30085MV,2,2.0,1512,92276,98900
352,GZ4GAFUZ0MVG7B3,2,2.0,1152,92276,99900
354,KR6V6CBEW3F80KZ,2,2.0,1930,92276,164900
355,A9CDEZYGBBO675J,2,2.0,1240,92276,117000
356,YODIAOUOHTON1R2,4,2.0,1866,92276,256000
358,7D6KX0WPKC83A2A,2,2.0,1388,92276,167400
359,2S81L26NJMDSV1L,2,2.0,1152,92276,97500
360,YQ5IQGY2RY81VRX,2,1.0,960,92276,63500
361,3NUH7LP1R9OKMPF,3,2.0,1200,92276,225000
362,TZHEV5KVWIW2E9T,2,2.0,1440,92276,77000
363,TEOWIUH84N8CZRY,2,2.0,1248,92276,114500
364,3H09WGGRMA5R99W,2,2.0,1152,92276,96500
366,MAZQPLI3Y02M7O9,3,2.0,1397,92276,248500
367,0ZP5M79WBVFSJ2U,2,2.0,1248,92276,117500
368,3C33MF1MF7SG3I0,2,2.0,1248,92276,79900
369,TAUK8TTEHHVLLQ6,2,2.0,1344,92276,84900
370,7SYWRWFADU75XK2,2,2.0,1440,92276,84900
371,Z27F1F7O66FX0VZ,3,2.5,2644,92276,379500
372,9J77BP1CHV23AQK,2,2.0,1020,92276,74900
373,OTEUUD867G7SA1W,2,2.0,1600,92276,147000
374,EULLOO44ZGL4J1X,2,2.0,2024,92276,214900
375,2XBE85GXQB6JV6D,2,1.0,780,92276,67900
376,ZURC0PKSJQE5G9P,3,2.0,1397,92276,199000
377,X60PA587X2KZHK6,2,2.0,1544,92276,124900
378,MIXO1MPF4SZAJQ9,2,2.0,1368,92276,69800
379,HM9S7KQWQNPO60D,2,2.0,1624,92276,185000
380,Y14BUKII2EHKWPQ,1,1.5,1440,92276,87500
381,JEOVN9OZ3M84F43,2,2.0,1840,92276,160000
382,59PXIPYPJUDNPK4,3,2.0,1454,92276,122500
383,AY0H4NNZADGSDMO,2,2.0,1040,92276,67900
384,WSC3L05S3923K73,2,2.0,1281,92276,139000
385,S4AXXK0FGHD4P1F,2,2.0,1152,92276,84900
386,TF1TNGSSC5BCHBG,2,2.0,1152,92276,99000
387,DU3LDVY668IEJ1Z,2,2.0,1536,92276,69900
388,091DFS9KNZB9YX9,2,1.0,960,92276,49900
389,0O3DJD5S0RMYRHS,2,2.0,1440,92276,154500
390,LQGGEGGG1TTJ4M5,2,2.0,1344,92276,129900
391,FF2NBW0N4FCYSJL,3,2.0,1507,92276,235000
392,IRXX7GE4XGBDGQQ,3,2.0,1766,92276,129000
393,P5PE604W38XQ2A3,2,2.0,1440,92276,83900
395,2YM6TDRNFBMDA5M,3,2.0,2971,93446,2395000
396,B7PF1IEZCH4CUK3,2,2.0,1468,92276,125000
397,M3GZFXYND70TPIL,2,3.0,1280,92276,69900
398,3ANC9GPKJG4MDZ3,2,2.0,960,92276,69500
399,5KBH2OR9FSI8L7O,2,2.0,1640,92276,79500
400,XN1QZCLDAYMY0XW,2,2.0,1056,92276,68500
401,YRO5G6LGX95LC9G,2,2.0,1344,92276,117500
403,Q4KZNQSKYNYQ9RX,2,2.0,1344,92276,89500
404,K486N4AGF3VOB0Z,2,2.0,1120,92276,72000
405,8RFSBVHQL3XX21K,2,2.0,1344,92276,104900
406,54232RJ2THXOH4X,3,2.0,1376,92276,174900
409,JG2WJDVI7A7BLMH,3,2.0,1560,92276,189000
410,P2RCR02VT0RYGVP,2,2.0,1440,92276,62500
411,B9XO6XWNZ57H4TM,2,2.0,1722,92276,174500
412,47RROEZ1NTMRZWK,2,2.0,1344,92276,139000
413,E1DG3RLTB2OQONH,2,2.0,1248,92276,50000
415,V612A1B29CM22E7,2,2.0,1020,92276,42900
416,5UWMSMGDCBCZZ5U,2,1.0,1000,92276,67000
417,HI8KF8QBEWIL4CA,2,2.0,1440,92276,99900
418,BBBFH5OMUG7JA11,2,2.0,1680,92276,69500
419,P4PS5VKFKXRRT9Z,2,2.0,1440,92276,99000
420,Z1XM2UQ17CSL0DL,2,2.0,1440,92276,110000
421,EG8Z7CFGL2W4C7Y,4,3.0,2454,93510,5858000
422,CZZ9LPAINQPZNS4,3,2.0,2346,93510,557000
423,AIYWOELJD89FZBU,4,4.0,3254,93510,674900
425,FD2D4743YTVJF9J,3,2.0,1734,93510,265000
429,PLIBNY8VHUXHSBF,3,2.0,1508,93510,449000
430,AIFPVMN8ME1S0AP,4,3.0,3631,93510,699900
431,XWLNOISKK88M70J,3,2.5,2824,93510,569000
433,P7YWSYMI4DOZBWR,3,2.0,1387,93510,395000
434,CIACDFBBIX86JFZ,3,3.0,2522,93510,705000
435,SJ11XZAN1D0I1RW,3,2.0,2095,93510,479000
436,45DDC55EDPNPZXU,3,2.0,1932,93510,309900
437,KNAXKB2GLMX9078,4,3.0,3624,93510,698777
438,XFS7XKQIP0JEMWF,3,3.0,2848,93510,547900
439,HUEH370SL8578HP,3,2.0,1152,93510,425000
440,AXFGNXLDSFE3Z4C,4,3.0,1625,93510,639000
441,Q84GKVQHJRM6NZ9,4,2.0,1717,93510,494000
442,2GS12CRNPG2MZ8Q,4,4.0,3220,93510,699000
443,K016IAIZCZ78CRT,5,3.5,3342,93510,639000
446,MTL5WQ2VCJRFSZI,3,2.0,2061,93510,529000
447,S2P3D1S0WJA3P7M,4,4.0,3522,93510,680000
448,48Q27Y5DG7JNCDB,2,1.0,1320,93510,520000
449,G2OV44U9UYYRUFK,3,3.0,2356,93510,710000
450,2D16SCCJSOHGMCP,3,3.0,2808,93510,599999
452,UVF4SH5F7DDNNLF,4,3.0,2774,93510,599500
453,ZVMNUPZRKLQ9W00,3,2.5,1991,93510,515000
455,T019PVDBAVIJMUG,4,2.0,1916,93510,549950
456,1STOZQDGG6D9GFI,6,5.0,4090,93510,859000
457,3V5G793AHV5H51R,3,2.0,1400,93446,139900
458,GZACTRLA7P9NHOR,3,2.0,1939,93446,575000
459,4D4SU9JDB288WXR,4,3.0,2118,93446,489900
460,G68Z6WP8SILOSLX,3,2.0,1940,93446,530000
461,SNFWCGBV47C8EOR,10,6.0,4188,93446,629000
463,SSTV2DAW124S2HL,3,2.0,1170,93446,235000
464,7HU8R1FTCE4YR65,3,3.0,2390,93446,769000
465,LGWX5159UV7NBL5,3,2.0,1469,93446,299900
466,CHJAMDNPJJ3DLO2,4,3.0,1496,93446,515000
467,0AQIWZ2XDKI0WRF,4,2.5,2699,93446,629000
468,O4YI9BSDPOLEQT9,3,3.0,2136,93446,689000
471,4R8Q4H1RG1LLIRC,2,2.0,1248,93446,175000
472,5K7WJPZJC64K6D1,4,4.0,4600,93446,1250000
473,NCJPUCKQNXP5GXD,3,2.0,1712,93446,310000
474,1P38CPBNIYGH7Q8,3,2.0,1920,93446,625000
475,KZSD2ZE5A2OTQPG,3,2.0,1705,93446,499500
476,Q8ZJ35TRI1L05AX,2,2.0,1742,93446,975000
478,W2W9Y8JJ1Y94PF8,2,2.0,1056,93446,179900
479,98Y787Q2J5XQO8Y,2,2.0,1190,93446,739900
480,SGQ1IEYLU176OKD,3,2.0,1410,93446,330000
481,PM8XHPTKPPQQVQ7,3,2.0,1822,93446,510000
482,NMTQ74JR6JMEDEM,3,2.0,2198,93446,625000
483,7IX8OGACMHP0LRD,2,2.0,1088,93446,280000
484,E4H74OY936VJNEH,2,2.0,1088,93446,265000
485,LHM33CDN2ZXHC50,6,5.5,5000,93446,2200000
486,G4YXZZ2COPEGF61,2,2.0,1088,93446,275000
487,D3TAF2X41FXCKJA,2,2.0,900,93446,125000
488,NHQE4Z3N6CEHGHR,2,2.0,1538,93446,699500
490,6EI2MGABHB0TIRD,3,2.0,2108,93446,439000
491,NPG9KSN2BTSWM1P,2,1.0,854,93446,179000
492,QXM9T9V452CVO2F,4,3.0,2617,93446,579500
493,J1J7YNTR2JO6CYT,6,4.5,4386,93446,759000
495,1YWI0F99BMFQWWN,2,2.0,1257,93446,380000
496,VUMNE39N1QUBMC9,4,2.0,2072,93446,429900
499,261U56DOENBTZBX,4,4.0,3000,93446,1495000
500,3EUW3SFVH1PHC0L,3,2.0,2330,93446,599900
502,ZIK9T504GO2IBQ3,3,2.0,1472,93446,309995
504,RJIA9ZJB3R4Q6U4,3,2.5,1935,92802,695000
505,BKM0VIVTGVWQ5HF,3,2.0,1471,92802,525000
506,SAZDZYBCTLX6A0D,3,2.0,1248,92802,78000
507,NAM9XNDSXXNU745,3,1.5,1214,92802,424900
508,54S9BU1M3X3XL9H,4,3.0,1882,92802,825000
509,C7G6V4ATCVTA2DD,2,2.5,987,92802,475000
510,M4GW1961GY3EJAS,4,3.0,1606,92802,850000
511,M32PRMTIQZNC80F,3,2.5,1554,92802,409900
512,3XPUFLTZAWSCXT1,3,2.5,1717,92802,540000
513,RRTA2BZOM7TC1LE,4,2.0,1475,94531,385000
514,FN0RLK485EXLBPC,3,2.0,1052,94531,195000
515,RCM3I1PVFA09N09,4,3.0,2353,94531,458000
517,4ZFDFQGACDMS2OJ,3,2.5,2650,94531,458000
